hex,alpha entity
0x2197,&UpperRightArrow;
0x03d2,&Upsi;
0x03a5,&Upsilon;
0x016e,&Uring;
0x1d4b0,&Uscr;
0x0168,&Utilde;
0x00dc,&Uuml;
0x22ab,&VDash;
0x2aeb,&Vbar;
0x0412,&Vcy;
0x22a9,&Vdash;
0x2ae6,&Vdashl;
0x22c1,&Vee;
0x2016,&Verbar;
0x2016,&Vert;
0x2223,&VerticalBar;
0x007c,&VerticalLine;
0x2758,&VerticalSeparator;
0x2240,&VerticalTilde;
0x200a,&VeryThinSpace;
0x1d519,&Vfr;
0x1d54d,&Vopf;
0x1d4b1,&Vscr;
0x22aa,&Vvdash;
0x0174,&Wcirc;
0x22c0,&Wedge;
0x1d51a,&Wfr;
0x1d54e,&Wopf;
0x1d4b2,&Wscr;
0x1d51b,&Xfr;
0x039e,&Xi;
0x1d54f,&Xopf;
0x1d4b3,&Xscr;
0x042f,&YAcy;
0x0407,&YIcy;
0x042e,&YUcy;
0x00dd,&Yacute;
0x0176,&Ycirc;
0x042b,&Ycy;
0x1d51c,&Yfr;
0x1d550,&Yopf;
0x1d4b4,&Yscr;
0x0178,&Yuml;
0x0416,&ZHcy;
0x0179,&Zacute;
0x017d,&Zcaron;
0x0417,&Zcy;
0x017b,&Zdot;
0x200b,&ZeroWidthSpace;
0x0396,&Zeta;
0x2128,&Zfr;
0x2124,&Zopf;
0x1d4b5,&Zscr;
0x00e1,&aacute;
0x0103,&abreve;
0x223e,&ac;
0x223e,&acE;
0x223f,&acd;
0x00e2,&acirc;
0x00b4,&acute;
0x0430,&acy;
0x00e6,&aelig;
0x2061,&af;
0x1d51e,&afr;
0x00e0,&agrave;
0x2135,&alefsym;
0x2135,&aleph;
0x03b1,&alpha;
0x0101,&amacr;
0x2a3f,&amalg;
0x0026,&amp;
0x2227,&and;
0x2a55,&andand;
0x2a5c,&andd;
0x2a58,&andslope;
0x2a5a,&andv;
0x2220,&ang;
0x29a4,&ange;
0x2220,&angle;
0x2221,&angmsd;
0x29a8,&angmsdaa;
0x29a9,&angmsdab;
0x29aa,&angmsdac;
0x29ab,&angmsdad;
0x29ac,&angmsdae;
0x29ad,&angmsdaf;
0x29ae,&angmsdag;
0x29af,&angmsdah;
0x221f,&angrt;
0x22be,&angrtvb;
0x299d,&angrtvbd;
0x2222,&angsph;
0x00c5,&angst;
0x237c,&angzarr;
0x0105,&aogon;
0x1d552,&aopf;
0x2248,&ap;
0x2a70,&apE;
0x2a6f,&apacir;
0x224a,&ape;
0x224b,&apid;
0x0027,&apos;
0x2248,&approx;
0x224a,&approxeq;
0x00e5,&aring;
0x1d4b6,&ascr;
0x002a,&ast;
0x2248,&asymp;
0x224d,&asympeq;
0x00e3,&atilde;
0x00e4,&auml;
0x2233,&awconint;
0x2a11,&awint;
0x2aed,&bNot;
0x224c,&backcong;
0x03f6,&backepsilon;
0x2035,&backprime;
0x223d,&backsim;
0x22cd,&backsimeq;
0x22bd,&barvee;
0x2305,&barwed;
0x2305,&barwedge;
0x23b5,&bbrk;
0x23b6,&bbrktbrk;
0x224c,&bcong;
0x0431,&bcy;
0x201e,&bdquo;
0x2235,&becaus;
0x2235,&because;
0x29b0,&bemptyv;
0x03f6,&bepsi;
0x212c,&bernou;
0x03b2,&beta;
0x2136,&beth;
0x226c,&between;
0x1d51f,&bfr;
0x22c2,&bigcap;
0x25ef,&bigcirc;
0x22c3,&bigcup;
0x2a00,&bigodot;
0x2a01,&bigoplus;
0x2a02,&bigotimes;
0x2a06,&bigsqcup;
0x2605,&bigstar;
0x25bd,&bigtriangledown;
0x25b3,&bigtriangleup;
0x2a04,&biguplus;
0x22c1,&bigvee;
0x22c0,&bigwedge;
0x290d,&bkarow;
0x29eb,&blacklozenge;
0x25aa,&blacksquare;
0x25b4,&blacktriangle;
0x25be,&blacktriangledown;
0x25c2,&blacktriangleleft;
0x25b8,&blacktriangleright;
0x2423,&blank;
0x2592,&blk12;
0x2591,&blk14;
0x2593,&blk34;
0x2588,&block;
0x003d,&bne;
0x2261,&bnequiv;
0x2310,&bnot;
0x1d553,&bopf;
0x22a5,&bot;
0x22a5,&bottom;
0x22c8,&bowtie;
0x2557,&boxDL;
0x2554,&boxDR;
0x2556,&boxDl;
0x2553,&boxDr;
0x2550,&boxH;
0x2566,&boxHD;
0x2569,&boxHU;
0x2564,&boxHd;
0x2567,&boxHu;
0x255d,&boxUL;
0x255a,&boxUR;
0x255c,&boxUl;
0x2559,&boxUr;
0x2551,&boxV;
0x256c,&boxVH;
0x2563,&boxVL;
0x2560,&boxVR;
0x256b,&boxVh;
0x2562,&boxVl;
0x255f,&boxVr;
0x29c9,&boxbox;
0x2555,&boxdL;
0x2552,&boxdR;
0x2510,&boxdl;
0x250c,&boxdr;
0x2500,&boxh;
0x2565,&boxhD;
0x2568,&boxhU;
0x252c,&boxhd;
0x2534,&boxhu;
0x229f,&boxminus;
0x229e,&boxplus;
0x22a0,&boxtimes;
0x255b,&boxuL;
0x2558,&boxuR;
0x2518,&boxul;
0x2514,&boxur;
0x2502,&boxv;
0x256a,&boxvH;
0x2561,&boxvL;
0x255e,&boxvR;
0x253c,&boxvh;
0x2524,&boxvl;
0x251c,&boxvr;
0x2035,&bprime;
0x02d8,&breve;
0x00a6,&brvbar;
0x1d4b7,&bscr;
0x204f,&bsemi;
0x223d,&bsim;
0x22cd,&bsime;
0x005c,&bsol;
0x29c5,&bsolb;
0x27c8,&bsolhsub;
0x2022,&bull;
0x2022,&bullet;
0x224e,&bump;
0x2aae,&bumpE;
